"","Iteration","Combo","GammaCV","AlphaCV","PhiCV","GammaHBD","AlphaHBD","PhiHBD","combo_type","HBD_diff","taxa"
"87","Iteration_9","Rain-fed_Rain-fed_Rain-fed",1.01326352094075,1.03921860775927,0.975024420632271,0.201425630328822,0.21326586997679,0.944481319728951,"Homogenous",0.0118402396479685,"inverts"
"88","Iteration_9","Rain-fed_Rain-fed_Snow-fed",0.664248880663982,0.834724952486544,0.795769766658186,0.172449003534596,0.205479282090315,0.8392525113982,"2:1",0.033030278555719,"inverts"
"89","Iteration_9","Rain-fed_Snow-fed_Snow-fed",0.766538710189092,1.16192273751783,0.659715732757429,0.160889731874529,0.191506591911383,0.840126338570001,"2:1",0.0306168600368535,"inverts"
"90","Iteration_9","Snow-fed_Snow-fed_Snow-fed",1.05702195252936,1.07143231605822,0.986550374379338,0.15998226547487,0.177836522617057,0.899602978738889,"Homogenous",0.0178542571421868,"inverts"
"91","Iteration_10","Glacier-fed_Glacier-fed_Glacier-fed",1.27462244282968,1.28948516750336,0.98847390799969,0.319745276144522,0.355131354667482,0.900357774502643,"Homogenous",0.035386078522959,"inverts"
"92","Iteration_10","Glacier-fed_Glacier-fed_Rain-fed",0.713621280969858,0.825535449281005,0.864434448685858,0.206014023265574,0.226764058206958,0.908495045002033,"2:1",0.020750034941384,"inverts"
"93","Iteration_10","Glacier-fed_Glacier-fed_Snow-fed",0.701187428448229,0.911033449874264,0.769661562421229,0.156571645307541,0.198350091968156,0.789370167434445,"2:1",0.0417784466606152,"inverts"
"94","Iteration_10","Glacier-fed_Rain-fed_Rain-fed",0.692077151207351,0.726824468747128,0.952192972259626,0.190904616217113,0.206557494563507,0.924220235245049,"2:1",0.0156528783463946,"inverts"
"95","Iteration_10","Glacier-fed_Rain-fed_Snow-fed",0.545112855216415,0.763951506181798,0.71354379277406,0.166604541772433,0.204923485237324,0.813008531352499,"Heterogenous",0.0383189434648917,"inverts"
"96","Iteration_10","Glacier-fed_Snow-fed_Snow-fed",1.05293689863702,1.14841863090609,0.916858077969588,0.145529204571156,0.16762339774482,0.868191472843794,"2:1",0.0220941931736635,"inverts"
"97","Iteration_10","Rain-fed_Rain-fed_Rain-fed",0.900515871349991,0.933283679997757,0.964889765727131,0.202369488868844,0.215106854307369,0.940785869053136,"Homogenous",0.0127373654385245,"inverts"
"98","Iteration_10","Rain-fed_Rain-fed_Snow-fed",0.713477689952526,0.910744365157981,0.783400608609601,0.180621043243342,0.204478760293708,0.88332422880451,"2:1",0.0238577170503662,"inverts"
"99","Iteration_10","Rain-fed_Snow-fed_Snow-fed",0.638711881928273,0.851219185829251,0.750349489956626,0.15860500061591,0.192783955895712,0.822708507453329,"2:1",0.0341789552798023,"inverts"
"100","Iteration_10","Snow-fed_Snow-fed_Snow-fed",0.987482046963195,0.995405308206348,0.99204016577184,0.167755155727138,0.179240737651693,0.935920918006515,"Homogenous",0.0114855819245556,"inverts"
"101","Iteration_11","Glacier-fed_Glacier-fed_Glacier-fed",1.34204032412482,1.34831907768515,0.995343273217558,0.303036112475952,0.34394634429749,0.881056355155926,"Homogenous",0.0409102318215383,"inverts"
"102","Iteration_11","Glacier-fed_Glacier-fed_Rain-fed",0.917776711952028,1.08014902732414,0.849676006491109,0.20732789558201,0.230435752912122,0.899721041383176,"2:1",0.0231078573301113,"inverts"
"103","Iteration_11","Glacier-fed_Glacier-fed_Snow-fed",0.876640029338744,1.13505518677136,0.772332517005036,0.176323231880196,0.212562767877666,0.829511365704804,"2:1",0.0362395359974702,"inverts"
"104","Iteration_11","Glacier-fed_Rain-fed_Rain-fed",0.815021444731698,0.871147836122905,0.93557190976792,0.191280767298831,0.206834793803126,0.924799758211378,"2:1",0.0155540265042947,"inverts"
"105","Iteration_11","Glacier-fed_Rain-fed_Snow-fed",0.516560534996429,0.916026334362803,0.56391450291192,0.18025746902557,0.209306953348625,0.86121108802979,"Heterogenous",0.0290494843230552,"inverts"
"106","Iteration_11","Glacier-fed_Snow-fed_Snow-fed",0.988010895236852,1.05290243269616,0.938368897777985,0.154027278928726,0.183530091570648,0.839248090656757,"2:1",0.0295028126419218,"inverts"
"107","Iteration_11","Rain-fed_Rain-fed_Rain-fed",0.933021952425904,0.942192230858228,0.990267083370057,0.20100113028646,0.212278599359148,0.946874206317861,"Homogenous",0.0112774690726876,"inverts"
"108","Iteration_11","Rain-fed_Rain-fed_Snow-fed",0.626775818487496,0.85087298528253,0.736626769598728,0.169590121919896,0.202099377681431,0.839142227281968,"2:1",0.0325092557615353,"inverts"
"109","Iteration_11","Rain-fed_Snow-fed_Snow-fed",0.691677619360471,0.965300443559683,0.716541284089553,0.158185494462146,0.192033078507837,0.823740866372095,"2:1",0.0338475840456908,"inverts"
"110","Iteration_11","Snow-fed_Snow-fed_Snow-fed",1.02586557590812,1.05780634740398,0.969804708041079,0.162249404462628,0.17643536767496,0.919596828009758,"Homogenous",0.0141859632123314,"inverts"
"111","Iteration_12","Glacier-fed_Glacier-fed_Glacier-fed",0.985506063293278,1.06708375815128,0.923550804484799,0.332732665372425,0.38208171685776,0.870841630708787,"Homogenous",0.0493490514853353,"inverts"
"112","Iteration_12","Glacier-fed_Glacier-fed_Rain-fed",0.632319981010472,0.72267154729228,0.874975614274093,0.217696656635366,0.241395645320875,0.90182511928081,"2:1",0.0236989886855087,"inverts"
"113","Iteration_12","Glacier-fed_Glacier-fed_Snow-fed",0.75206163155787,0.917543031034779,0.819647260259518,0.159178474140145,0.195649354743068,0.813590590928261,"2:1",0.0364708806029222,"inverts"
"114","Iteration_12","Glacier-fed_Rain-fed_Rain-fed",0.669210683509937,0.715724348907196,0.935011760507689,0.191760339926572,0.209284977153533,0.916264237092831,"2:1",0.0175246372269604,"inverts"
"115","Iteration_12","Glacier-fed_Rain-fed_Snow-fed",0.567773437450051,0.951394238962052,0.596780403116039,0.161431980162198,0.200976448953254,0.803238294849896,"Heterogenous",0.0395444687910551,"inverts"
"116","Iteration_12","Glacier-fed_Snow-fed_Snow-fed",1.0847673919368,1.18357632696734,0.916516634559838,0.157974231249743,0.179791739029533,0.878651222255508,"2:1",0.0218175077797906,"inverts"
"117","Iteration_12","Rain-fed_Rain-fed_Rain-fed",0.777430031514008,0.789016233421375,0.985315635576817,0.202304189869592,0.214866480071554,0.941534434790489,"Homogenous",0.0125622902019616,"inverts"
"118","Iteration_12","Rain-fed_Rain-fed_Snow-fed",0.692457632021567,0.955314021956646,0.724848181965649,0.172930041761837,0.212290584478437,0.814591199071299,"2:1",0.0393605427166001,"inverts"
"119","Iteration_12","Rain-fed_Snow-fed_Snow-fed",0.669411570526552,1.08746875089864,0.615568557692692,0.166143252816712,0.197353370932555,0.841856675827901,"2:1",0.0312101181158436,"inverts"
"120","Iteration_12","Snow-fed_Snow-fed_Snow-fed",1.03148689565928,1.0500312209228,0.982339262972374,0.174580286221214,0.185534217090928,0.940960050165057,"Homogenous",0.0109539308697137,"inverts"
"121","Iteration_13","Glacier-fed_Glacier-fed_Glacier-fed",1.29986873459776,1.32785453971601,0.978924043047489,0.32676777212623,0.371865319035543,0.878726128518045,"Homogenous",0.0450975469093127,"inverts"
"122","Iteration_13","Glacier-fed_Glacier-fed_Rain-fed",0.760026414367044,0.903287364560252,0.841400471418138,0.187962911548876,0.202588802227886,0.927805038984544,"2:1",0.0146258906790102,"inverts"
"123","Iteration_13","Glacier-fed_Glacier-fed_Snow-fed",0.889829363867736,1.09685893395852,0.811252328188072,0.162009191041375,0.207869822461387,0.779378118107882,"2:1",0.0458606314200115,"inverts"
"124","Iteration_13","Glacier-fed_Rain-fed_Rain-fed",0.83250628158831,0.887235867239784,0.938314502746898,0.194014060370494,0.212781052592689,0.911801393998555,"2:1",0.0187669922221954,"inverts"
"125","Iteration_13","Glacier-fed_Rain-fed_Snow-fed",0.60496861409924,0.867310461387298,0.697522560873495,0.171346913655337,0.20925899273228,0.818827001975266,"Heterogenous",0.0379120790769431,"inverts"
"126","Iteration_13","Glacier-fed_Snow-fed_Snow-fed",0.924329445040737,0.999687084715698,0.924618772386769,0.166460735893708,0.197100817032591,0.844546148513342,"2:1",0.0306400811388833,"inverts"
"127","Iteration_13","Rain-fed_Rain-fed_Rain-fed",1.04757994933888,1.07102679768193,0.978108065648974,0.199816579241036,0.215123083419776,0.928847690654973,"Homogenous",0.01530650417874,"inverts"
"128","Iteration_13","Rain-fed_Rain-fed_Snow-fed",0.635252202015795,0.861776748344214,0.737142424921937,0.182645067969765,0.214276290410713,0.852381136614235,"2:1",0.0316312224409476,"inverts"
"129","Iteration_13","Rain-fed_Snow-fed_Snow-fed",0.783517707795145,0.939030810219784,0.834389776424652,0.14596485142385,0.187533179941895,0.778341472528091,"2:1",0.041568328518045,"inverts"
"130","Iteration_13","Snow-fed_Snow-fed_Snow-fed",0.931717211268186,0.944129735404055,0.98685294650681,0.164711248454288,0.1742275754209,0.945379903590907,"Homogenous",0.00951632696661206,"inverts"
"131","Iteration_14","Glacier-fed_Glacier-fed_Glacier-fed",1.15353520864933,1.19548856313585,0.964906937815889,0.33277445453668,0.376972561373432,0.882755109083473,"Homogenous",0.0441981068367518,"inverts"
"132","Iteration_14","Glacier-fed_Glacier-fed_Rain-fed",0.75075357760865,0.868301086651362,0.864623561055258,0.191434192442709,0.215471552956206,0.888442997770651,"2:1",0.0240373605134968,"inverts"
"133","Iteration_14","Glacier-fed_Glacier-fed_Snow-fed",0.982305531774019,1.16542138290456,0.842875844036632,0.150168700139943,0.191771029572874,0.78306249110937,"2:1",0.0416023294329307,"inverts"
"134","Iteration_14","Glacier-fed_Rain-fed_Rain-fed",0.834450719992316,0.8820622778085,0.946022453273396,0.183198362673881,0.196688726736686,0.931412621929955,"2:1",0.0134903640628049,"inverts"
"135","Iteration_14","Glacier-fed_Rain-fed_Snow-fed",0.74253779165882,1.10718484728829,0.670653860082571,0.157321766516561,0.190836589241313,0.824379471159103,"Heterogenous",0.0335148227247525,"inverts"
"136","Iteration_14","Glacier-fed_Snow-fed_Snow-fed",0.983342564830864,1.07899098744903,0.911353826185056,0.149362149157735,0.179041220156801,0.834233306871602,"2:1",0.0296790709990664,"inverts"
"137","Iteration_14","Rain-fed_Rain-fed_Rain-fed",0.77026195551918,0.78993360320325,0.975097087142134,0.200949049582365,0.213893585108083,0.939481422413032,"Homogenous",0.0129445355257183,"inverts"
"138","Iteration_14","Rain-fed_Rain-fed_Snow-fed",0.642784258532227,0.870865131567644,0.738098512883563,0.16693614936863,0.19943155838891,0.837059845077725,"2:1",0.0324954090202796,"inverts"
"139","Iteration_14","Rain-fed_Snow-fed_Snow-fed",0.673680942106717,0.854853522415472,0.78806593696095,0.153804779992174,0.189095598808096,0.813370490702235,"2:1",0.0352908188159219,"inverts"
"140","Iteration_14","Snow-fed_Snow-fed_Snow-fed",1.12438586641098,1.13849487844264,0.987607311812457,0.169831911431858,0.182496898664182,0.930601630356312,"Homogenous",0.0126649872323236,"inverts"
"141","Iteration_15","Glacier-fed_Glacier-fed_Glacier-fed",1.25483830772768,1.32875192041103,0.944373655045791,0.312825183672238,0.377436218176783,0.828816018725891,"Homogenous",0.0646110345045449,"inverts"
"142","Iteration_15","Glacier-fed_Glacier-fed_Rain-fed",0.85818981361894,0.949315045907662,0.904009493285135,0.196309363768718,0.21860495190347,0.898009683949898,"2:1",0.0222955881347522,"inverts"
"143","Iteration_15","Glacier-fed_Glacier-fed_Snow-fed",0.723313306436324,0.876670299042273,0.825068794079729,0.169345921947353,0.210717983229404,0.803661459510978,"2:1",0.0413720612820515,"inverts"
"144","Iteration_15","Glacier-fed_Rain-fed_Rain-fed",0.782471969337421,0.852739676293516,0.917597704305822,0.187285384258752,0.203366791475098,0.92092412384686,"2:1",0.0160814072163462,"inverts"
"145","Iteration_15","Glacier-fed_Rain-fed_Snow-fed",0.663121126245028,0.921610120130447,0.719524570922862,0.167742178617379,0.210543399608193,0.796710696842244,"Heterogenous",0.0428012209908145,"inverts"
