"","Number","Site","Date","SampleID","SampCode","Dry.Mass..mg.","Ashed.Mass..mg.","AFDM","X750umb","X649umb","X665umb","X632umb","X696umb","X750uma","X649uma","X665uma","X632uma","X696uma","ChlorophyllA_insample","Area_cm2","Subsample.Volume..mL.","Percent.of.Whole.Sample","SubsampleArea_cm2","ChlA_Area_Main","Chlorophyll_bcd_insample","Chla_Pheophytincorrected","Pheophhytin_inSample","Chl_all_area","ChlA_PhCor_area","Ph_area","X","ChlA_Area_Parsons84","Phaeophytin_Area_Parsons84","ChlA_Area_Marker1980","X.1","Comment"
"43",63,"Peterson",2018-05-16,"Peri_01","Peterson43236Peri_01",67.37,65.97,1.4,5e-04,0.0071,0.0168,0.0041,0.0011,0.00654,0.0043,0.0103,0.0017,1e-04,1.9992,149.417,50,0.05,7.47085,"0.267600072",1.89512,1.8486,2.10841,0.253668592,0.247441723,0.282218221,NA,"0.253271047","0.027664991","0.016466319",NA,""
"44",64,"Peterson",2018-05-16,"Peri_05","Peterson43236Peri_05",70.19,68.53,1.66,1e-04,0.0065,0.016,0.0036,2e-04,0.0044,0.0027,0.0085,3e-04,-8e-04,1.904,113.34,60,0.06,6.8004,"0.27998353",1.83128,2.133,1.73995,0.269290042,0.31365802,0.255859949,NA,"0.321047291","-0.066349774","0.020452326",NA,""
"45",62,"Peterson",2018-06-13,"Peri_03","Peterson43264Peri_03",103.83,97.15,6.68,0.0011,0.1544,0.2797,0.0707,0.0109,0.0012,0.1403,0.2456,0.059,0.0106,33.2843,146.935,60,0.06,8.8161,"3.775399553",30.04601,9.69804,50.27432,3.408084073,1.100037432,5.70255782,NA,"1.125952519","4.550697247","0.378763285",NA,""
"46",61,"Peterson",2018-06-13,"Peri_05","Peterson43264Peri_05",72.33,67.33,5,0.003,0.1277,0.2481,0.0623,0.0104,0.0023,0.0943,0.1634,0.0355,0.0094,29.5239,164.016,50,0.05,8.2008,"3.600124378",27.05687,24.08868,33.44798,3.29929641,2.937357331,4.078624037,NA,"3.006556677","1.053537216","0.3593725",NA,""
"47",60,"Peterson",2018-07-11,"Peri_03","Peterson43292Peri_03",83.98,77.65,6.33,0.0026,0.1158,0.27487,0.0629,0.0153,0.0024,0.0753,0.1777,0.032,0.0122,32.70953,189.551,60,0.06,11.37306,"2.876053586",31.067583,27.635148,36.37519,2.731681975,2.429877975,3.19836438,NA,"2.487121936","0.696711527","0.287250335",NA,""
"48",59,"Peterson",2018-07-11,"Peri_04","Peterson43292Peri_04",100.67,90.69,9.98,0.002,0.1753,0.3703,0.0891,0.0145,0.003,0.1277,0.246,0.0522,0.0135,44.0657,174.342,60,0.06,10.46052,"4.212572606",41.09047,35.35092,50.3562,3.928147931,3.379461059,4.813928944,NA,"3.459075648","1.33298249","0.421004596",NA,""
"49",58,"Peterson",2018-08-15,"Peri_04","Peterson43327Peri_04",99.72,96.79,2.93,0.0051,0.0084,0.0094,0.0081,0.006,0.0058,0.0071,0.0075,0.0068,0.0052,1.1186,111.099,120,0.12,13.33188,"0.083904146",0.77004,0.54036,1.53525,0.057759296,0.040531418,0.115156302,NA,"0.041486272","0.073146848","0.003237653",NA,""
"50",57,"Peterson",2018-08-15,"Peri_05","Peterson43327Peri_05",103.77,96.38,7.39,0.0014,0.0516,0.1241,0.0272,0.0058,0.0016,0.0351,0.0818,0.0147,0.0048,14.7679,234.929,120,0.12,28.19148,"0.523842665",14.07597,12.03012,16.74446,0.499298724,0.426728927,0.593954627,NA,"0.436781964","0.154474189","0.052099961",NA,""
"51",56,"Peterson",2018-09-11,"Peri_03","Peterson43354Peri_03",80.95,76.02,4.93,0.0013,0.0761,0.1916,0.0407,0.0071,0.0021,0.0538,0.133,0.0239,0.0063,22.8004,191.665,48,0.048,9.19992,"2.478325898",21.9248,16.66584,27.2251,2.383151158,1.8115201,2.959275733,NA,"1.854196558","1.091634492","0.246970082",NA,""
"52",55,"Peterson",2018-09-11,"Peri_05","Peterson43354Peri_05",76.01,74.29,1.72,0.0026,0.0058,0.0095,0.0046,0.0029,0.0042,0.0054,0.0078,0.0044,0.0035,1.1305,223.831,60,0.06,13.42986,"0.084178093",0.95269,0.48348,1.59666,0.070938193,0.036000375,0.118888804,NA,"0.036848485","0.081500179","0.004731769",NA,""
"53",54,"Peterson",2018-10-19,"Peri_01","Peterson43392Peri_01",67.38,65.89,1.49,0.0029,0.0053,0.0063,0.0048,0.0034,0.0061,0.0083,0.0091,0.0078,0.0064,0.7497,180.838,60,0.06,10.85028,"0.069094991",0.54143,-0.79632,1.86277,0.049900095,-0.073391654,0.171679441,NA,"-0.075120642","0.246020103","0.000221008",NA,""
"54",53,"Peterson",2018-10-19,"Peri_02","Peterson43392Peri_02",69.76,67.94,1.82,0.0015,0.0124,0.0239,0.007,0.0024,0.002,0.0122,0.0233,0.0069,0.0026,2.8441,188.939,60,0.06,11.33634,"0.250883442",2.57827,0.17064,4.76951,0.227434075,0.015052477,0.420727501,NA,"0.015407089","0.403408949","0.023162767",NA,""
"55",52,"Peterson",2018-11-09,"Peri_01","Peterson43413Peri_01",78.49,76.07,2.42,8e-04,0.0106,0.0198,0.0056,0.0015,0.013,0.0098,0.0175,0.005,0.0015,2.3562,129.451,60,0.06,7.76706,"0.303358027",2.12956,0.65412,3.58225,0.274178389,0.084217194,0.461210548,NA,"0.086201214","0.372913947","0.010497151",NA,""
