"","Number","Site","Date","SampleID","SampCode","Dry.Mass..mg.","Ashed.Mass..mg.","AFDM","X750umb","X649umb","X665umb","X632umb","X696umb","X750uma","X649uma","X665uma","X632uma","X696uma","ChlorophyllA_insample","Area_cm2","Subsample.Volume..mL.","Percent.of.Whole.Sample","SubsampleArea_cm2","ChlA_Area_Main","Chlorophyll_bcd_insample","Chla_Pheophytincorrected","Pheophhytin_inSample","Chl_all_area","ChlA_PhCor_area","Ph_area","X","ChlA_Area_Parsons84","Phaeophytin_Area_Parsons84","ChlA_Area_Marker1980","X.1","Comment"
"141",61,"Montana",2018-08-17,"Peri_04","Montana43329Peri_04",95.59,88.55,7.04,7e-04,0.0095,0.0166,0.0054,0.0021,0.0015,0.0089,0.0152,0.0051,0.0019,1.9754,76.589,400,0.4,30.6356,"0.064480539",1.74344,0.39816,3.11144,0.064480539,NA,0.101562888,NA,"0.013302824","0.087798639","0.005909759",NA,""
"142",62,"Montana",2018-08-17,"Peri_03","Montana43329Peri_03",73.68,70.91,2.77,0.0031,0.0047,0.0053,0.0044,0.0034,0.0025,0.0039,0.0044,0.0036,0.0027,0.6307,77.488,160,0.16,12.39808,"0.05087078",0.43541,0.25596,0.90068,0.05087078,NA,0.072646732,NA,"0.021131498","0.051185184","0.002707839",NA,""
"143",63,"Peterson",2018-11-09,"Peri_04","Peterson43413Peri_04",88.11,86.08,2.03,0.0029,0.0126,0.0193,0.0074,0.0034,0.0021,0.0103,0.0153,0.0054,0.0024,2.2967,124.663,80,0.08,9.97304,"0.230290864",1.94073,1.1376,3.13191,0.230290864,NA,0.314037645,NA,"0.116754771","0.195856128","0.020678549",NA,""
"144",64,"Peterson",2019-01-15,"Peri_01","Peterson43480Peri_01",72.65,70.17,2.48,0.0014,0.0093,0.0151,0.0049,0.002,0.0011,0.0083,0.0135,0.0041,0.0014,1.7969,114.806,60,0.06,6.88836,"0.26086035",1.55457,0.45504,2.76345,0.26086035,NA,0.401176768,NA,"0.067615514","0.331738614","0.024368645",NA,""
"145",65,"Peterson",2018-04-20,"Peri_05","Peterson43210Peri_05",79.58,77.35,2.23,0.0034,0.0074,0.0093,0.0054,0.0038,0.0026,0.0063,0.0079,0.0045,0.0031,1.1067,222.165,40,0.04,8.8866,"0.124535818",0.83861,0.39816,1.61713,0.124535818,NA,0.181973983,NA,"0.045860059","0.135287174","0.00903979",NA,""
"146",66,"Montana",2018-10-18,"Peri_05","Montana43391Peri_05",76.72,73.2,3.52,0.0028,0.0059,0.0101,0.0046,0.0031,0.0033,0.0063,0.0098,0.0051,0.0035,1.2019,83.338,200,0.2,16.6676,"0.072109962",1.02443,0.08532,2.00606,0.072109962,NA,0.12035686,NA,"0.005239507","0.114570544","0.004891646",NA,""
"147",67,"Montana",2018-09-12,"Peri_04","Montana43355Peri_04",121.82,116.56,5.26,0.0014,0.0068,0.0129,0.0041,0.0019,0.001,0.0054,0.0103,0.0029,0.0013,1.5351,118.832,120,0.12,14.25984,"0.107651979",1.37645,0.73944,2.10841,0.107651979,NA,0.147856498,NA,"0.053076332","0.094108419","0.010005792",NA,""
"148",68,"Peterson",2019-04-05,"Peri_03","Peterson43560Peri_03",100.8,97.87,2.93,0.0026,0.0162,0.0233,0.0089,0.0036,0.0024,0.0154,0.0219,0.008,0.0035,2.7727,162.216,60,0.06,9.73296,"0.284877365",2.30703,0.39816,4.48293,0.284877365,NA,0.460592667,NA,"0.041872154","0.416627932","0.025746638",NA,""
"149",69,"Montana",2018-08-17,"Peri_05","Montana43329Peri_05",71.27,69,2.27,0.0066,0.0094,0.01,0.0093,0.0077,0.0042,0.0058,0.0062,0.0057,0.0043,1.19,65.464,170,0.17,11.12888,"0.106928999",0.77572,1.08072,1.26914,0.106928999,NA,0.114040227,NA,"0.099397244","0.014124872","0.006248787",NA,""
"150",70,"Peterson",2019-04-05,"Peri_01","Peterson43560Peri_01",81.56,79.82,1.74,0.0029,0.0101,0.0137,0.0062,0.0033,7e-04,0.0057,0.0073,0.0021,4e-04,1.6303,251.872,60,0.06,15.11232,"0.10787887",1.31051,1.82016,1.49431,0.10787887,NA,0.098880251,NA,"0.123279549","-0.024848534","0.010314101",NA,""
"151",71,"Montana",2018-10-18,"Peri_04","Montana43391Peri_04",83.94,81.02,2.92,9e-04,0.0095,0.0237,0.0055,0.0018,0.0014,0.0084,0.0209,0.0048,0.0018,2.8203,123.839,100,0.1,12.3839,"0.227739242",2.69231,0.79632,4.27823,0.227739242,NA,0.345467098,NA,"0.065817715","0.278079846","0.021590694",NA,""
"152",72,"Montana",2018-10-18,"Peri_02","Montana43391Peri_02",82.29,79.36,2.93,0.0011,0.0026,0.005,0.0017,9e-04,0.0012,0.0025,0.0047,0.0017,9e-04,0.595,107.196,100,0.1,10.7196,"0.055505802",0.53234,0.08532,0.96209,0.055505802,NA,0.08975055,NA,"0.008146759","0.081196033","0.004250345",NA,""
"153",73,"Montana",2018-09-12,"Peri_03","Montana43355Peri_03",91.18,87.28,3.9,9e-04,0.0038,0.005,0.0022,9e-04,0.002,0.0045,0.0055,0.003,0.0017,0.595,92.909,120,0.12,11.14908,"0.053367632",0.4784,-0.1422,1.12585,0.053367632,NA,0.100981426,NA,"-0.013054889","0.113577533","0.003226275",NA,""
"154",74,"Montana",2019-04-03,"Peri_04","Montana43558Peri_04",80.8,78.71,2.09,0.0012,0.0026,0.0039,0.0017,0.001,0.0072,0.0087,0.0099,0.0079,0.0071,0.4641,96.611,140,0.14,13.52554,"0.034312863",0.38441,-1.7064,2.02653,0.034312863,NA,0.149829877,NA,"-0.129133476","0.278282642","-0.002925355",NA,""
"155",75,"Montana",2019-04-03,"Peri_02","Montana43558Peri_02",63.92,62.18,1.74,0.0043,0.0065,0.0074,0.0062,0.0047,0.0043,0.006,0.0069,0.0057,0.0045,0.8806,87.757,120,0.12,10.53084,"0.08362106",0.6116,0.1422,1.41243,0.08362106,NA,0.134123204,NA,"0.01382131","0.119692541","0.003529538",NA,""
"156",76,"Montana",2018-07-10,"Peri_03","Montana43291Peri_03",79.89,77.24,2.65,5e-04,0.0071,0.0178,0.004,0.001,0.0015,0.0075,0.0172,0.0045,0.002,2.1182,90.117,130,0.13,11.71521,"0.180807685",2.0297,0.17064,3.52084,0.180807685,NA,0.300535799,NA,"0.014908824","0.284261571","0.01668233",NA,""
"157",77,"Montana",2018-06-12,"Peri_04","Montana43263Peri_04",97.53,92.88,4.65,1e-04,0.0032,0.0058,0.0018,5e-04,0.0012,0.0033,0.0055,0.0024,0.001,0.6902,87.381,80,0.08,6.99048,"0.098734279",0.61856,0.08532,1.12585,0.098734279,NA,0.161054749,NA,"0.012492704","0.147830335","0.007889873",NA,""
"158",78,"Montana",2018-06-12,"Peri_01","Montana43263Peri_01",110.29,105.77,4.52,0.0012,0.004,0.0066,0.0027,0.0014,0.0017,0.0042,0.0064,0.0028,0.0017,0.7854,145.705,140,0.14,20.3987,"0.038502454",0.6736,0.05688,1.31008,0.038502454,NA,0.064223701,NA,"0.002854103","0.061077814","0.002880135",NA,""
"159",79,"Herbert",2018-05-15,"Peri_05","Herbert43235Peri_05",85.59,83.28,2.31,6e-04,0.0026,0.0058,0.0018,7e-04,0.0015,0.0031,0.0058,0.0024,0.0013,0.6902,190.118,140,0.14,26.61652,"0.025931264",0.6422,0,1.18726,0.025931264,NA,0.044606132,NA,"0","0.044403476","0.00193703",NA,""
"160",80,"Herbert",2018-11-12,"Peri_03","Herbert43416Peri_03",142.34,139.77,2.57,0.0129,0.0186,0.0178,0.0192,0.015,0.0127,0.0178,0.0171,0.0185,0.0143,2.1182,361.941,200,0.2,72.3882,"0.029261675",1.27542,0.19908,3.50037,0.029261675,NA,0.048355533,NA,"0.002814962","0.045320881","0.000844737",NA,""
"161",81,"Herbert",2018-11-12,"Peri_02","Herbert43416Peri_02",84.01,82.18,1.83,0.0029,0.0046,0.0059,0.0047,0.0043,0.0056,0.0077,0.0096,0.0081,0.0083,0.7021,335.463,200,0.2,67.0926,"0.010464641",0.50419,-1.05228,1.96512,0.010464641,NA,0.029289668,NA,"-0.016053484","0.045210083","5.36E-05",NA,""
"162",82,"Herbert",2018-11-12,"Peri_04","Herbert43416Peri_04",105.25,101.91,3.34,0.0153,0.0224,0.0219,0.0237,0.0186,0.0178,0.0256,0.0257,0.0273,0.023,2.6061,313.166,150,0.15,46.9749,"0.055478564",1.58861,-1.08072,5.26079,0.055478564,NA,0.11199151,NA,"-0.02354832","0.135031027","0.001046495",NA,""
"163",83,"Montana",2019-04-03,"Peri_01","Montana43558Peri_01",79.35,76.3,3.05,0.0019,0.0033,0.0048,0.0029,0.0029,0.0028,0.0044,0.0064,0.0046,0.0053,0.5712,92.949,120,0.12,11.15388,"0.051210879",0.44004,-0.45504,1.31008,0.051210879,NA,0.117455092,NA,"-0.041757666","0.158679132","0.002149925",NA,""
"164",84,"Herbert",2018-08-16,"Peri_02","Herbert43328Peri_02",67.8,67.04,0.76,2e-04,6e-04,0.0012,7e-04,0.0011,9e-04,0.0015,0.0026,0.0018,0.0026,0.1428,138.902,120,0.12,16.66824,"0.008567191",0.11364,-0.39816,0.53222,0.008567191,NA,0.031930186,NA,"-0.024450092","0.056235211","0.0002158",NA,""
"165",85,"Herbert",2018-06-14,"Peri_05","Herbert43265Peri_05",93.98,91.38,2.6,7e-04,0.0172,0.031,0.0088,0.0029,6e-04,0.0149,0.0254,0.006,0.0039,3.689,166.547,300,0.3,49.9641,"0.073833012",3.29728,1.59264,5.19938,0.073833012,NA,0.104062317,NA,"0.032626626","0.070962911","0.007295158",NA,""
"166",86,"Herbert",2018-05-15,"Peri_03","Herbert43235Peri_03",103.07,100.24,2.83,0.001,0.0034,0.0068,0.0029,0.0018,0.0031,0.0057,0.009,0.006,0.0058,0.8092,145.105,110,0.11,15.96155,"0.050696831",0.72046,-0.62568,1.8423,0.050696831,NA,0.115421121,NA,"-0.04012267","0.155019406","0.002779367",NA,""
"167",87,"Herbert",NA,"Peri_04","Herbert43209Peri_04",76.89,71.94,4.95,4e-04,0.0016,0.0043,0.0012,0.001,1e-04,0.0018,0.0044,0.0016,0.0023,0.5117,257.54,30,0.03,7.7262,"0.066229194",0.48247,-0.02844,0.90068,0.066229194,NA,0.116574772,NA,"-0.0037677","0.119812845","0.006517822",NA,""
"168",88,"Herbert",NA,"Peri_01","Herbert43209Peri_01",72.63,67.39,5.24,7e-04,0.0011,0.0019,0.001,0.001,0.005,0.0012,0.0026,0.0013,0.0019,0.2261,398.777,25,0.025,9.969425,"0.022679342",0.18599,-0.19908,0.53222,0.022679342,NA,0.053385225,NA,"-0.020439494","0.073582178","-0.003728299",NA,""
"169",89,"Herbert",NA,"Peri_01","Herbert43265Peri_01",108.83,106.91,1.92,2e-04,0.0028,0.0055,0.0014,9e-04,0.0012,0.0045,0.0076,0.004,0.0038,0.6545,99.639,300,0.3,29.8917,"0.02189571",0.58957,-0.59724,1.55572,0.02189571,NA,0.052045217,NA,"-0.020450827","0.07225959","0.001724793",NA,""
"170",90,"Herbert",NA,"Peri_05","Herbert43356Peri_05",94.04,92.21,1.83,7e-04,0.0051,0.0051,0.0022,0.0024,8e-04,0.0027,0.0043,0.0022,0.0024,0.6069,164.87,340,0.34,56.0558,"0.010826712",0.40683,0.22752,0.88021,0.010826712,NA,0.015702389,NA,"0.004154432","0.011476618","0.000919744",NA,""
"171",91,"Herbert",NA,"Peri_02","Herbert43209Peri_02",74.78,71.51,3.27,0.0014,0.0022,0.0035,0.0017,0.0043,0.0034,0.0044,0.0055,0.0048,0.0057,0.4165,373.002,30,0.03,11.19006,"0.037220533",0.29191,-0.5688,1.12585,0.037220533,NA,0.100611614,NA,"-0.052028318","0.15218283","0.000107149",NA,""
"172",92,"Herbert",2018-08-16,"Peri_04","Herbert43328Peri_04",80.65,79.02,1.63,0.0028,0.0082,0.0138,0.0081,0.0066,0.0046,0.0093,0.0144,0.009,0.007,1.6422,190.647,120,0.12,22.87764,"0.07178188",1.3534,-0.17064,2.94768,0.07178188,NA,0.128845458,NA,"-0.007634529","0.135894612","0.004821651",NA,""
"173",93,"Herbert",2018-08-16,"Peri_03","Herbert43328Peri_03",88.64,87.23,1.41,0.0028,0.0096,0.0177,0.0084,0.0064,0.0035,0.0098,0.0173,0.0088,0.007,2.1063,362.881,30,0.03,10.88643,"0.193479405",1.81209,0.11376,3.54131,0.193479405,NA,0.325295804,NA,"0.010695885","0.313122024","0.01563947",NA,""
"174",94,"Herbert",2018-06-14,"Peri_02","Herbert43265Peri_02",110.33,108.57,1.76,0.0021,0.0047,0.0075,0.0044,0.0047,0.0027,0.0051,0.0077,0.0048,0.0051,0.8925,124.82,360,0.36,44.9352,"0.019861935",0.70517,-0.05688,1.57619,0.019861935,NA,0.035076955,NA,"-0.001295644","0.036213236","0.001280778",NA,""
"175",95,"Steep",2018-09-10,"Peri_03","Steep43353Peri_03",111.24,107.84,3.4,0.0026,0.0209,0.0474,0.0135,0.0068,0.003,0.0194,0.0431,0.0126,0.0073,5.6406,180.309,120,0.12,21.63708,"0.260691369",5.24456,1.22292,8.82257,0.260691369,NA,0.40775234,NA,"0.057851152","0.348048674","0.024603874",NA,""
"176",96,"Herbert",2018-05-15,"Peri_02","Herbert43235Peri_02",113.52,109.33,4.19,0.0029,0.0073,0.0115,0.0066,0.0058,0.0031,0.0067,0.0105,0.0064,0.0058,1.3685,164.459,80,0.08,13.15672,"0.104015286",1.10143,0.2844,2.14935,0.104015286,NA,0.163365185,NA,"0.022125575","0.140497404","0.007655099",NA,""
"177",97,"Herbert",2019-04-05,"Peri_05","Herbert43560Peri_05",88.09,84.05,4.04,0.0024,0.0067,0.0084,0.0067,0.0074,0.0068,0.0109,0.0123,0.0107,0.0098,0.9996,343.168,40,0.04,13.72672,"0.072821475",0.68878,-1.10916,2.51781,0.072821475,NA,0.183424008,NA,"-0.082706575","0.265297245","0.001397566",NA,""
"178",98,"Steep",2018-11-07,"Peri_03","Steep43411Peri_03",147.36,138.3,9.06,0.0033,0.0088,0.0129,0.0084,0.0061,0.0035,0.0075,0.0096,0.0075,0.0058,1.5351,114.203,120,0.12,13.70436,"0.112015446",1.21555,0.93852,1.96512,0.112015446,NA,0.143393781,NA,"0.07009667","0.07264564","0.008224098",NA,""
"179",99,"Steep",2018-11-07,"Peri_05","Steep43411Peri_05",112.64,108.08,4.56,0.0036,0.037,0.0726,0.0224,0.0097,0.0044,0.0354,0.0674,0.0218,0.0104,8.6394,117.957,110,0.11,12.97527,"0.665835855",7.8208,1.47888,13.79678,0.665835855,NA,1.063313519,NA,"0.116661927","0.94182071","0.06302127",NA,""
"180",100,"Steep",2018-10-16,"Peri_04","Steep43389Peri_04",91.36,89.19,2.17,0.0029,0.0261,0.0393,0.0147,0.007,0.0032,0.0236,0.0326,0.0128,0.0066,4.6767,118.093,80,0.08,9.44744,"0.49502299",3.93027,1.90548,6.67322,0.49502299,NA,0.706352197,NA,"0.206444285","0.496698788","0.04581548",NA,""
"181",101,"Peterson",2019-01-15,"Peri_03","Peterson43480Peri_03",104.26,100.95,3.31,4e-04,0.0111,0.0191,0.0056,0.0018,0.0018,0.011,0.0183,0.0059,0.0025,2.2729,106.279,80,0.08,8.50232,"0.267327035",2.00871,0.22752,3.74601,0.267327035,NA,0.440586805,NA,"0.027390171","0.411194944","0.024396518",NA,""
"182",102,"Peterson",2019-01-15,"Peri_02","Peterson43480Peri_02",78.16,75.82,2.34,5e-04,0.0032,0.0046,0.0017,8e-04,0.0013,0.0037,0.0048,0.0022,0.0014,0.5474,133.119,60,0.06,7.98714,"0.06853517",0.4538,-0.05688,0.98256,0.06853517,NA,0.123017751,NA,"-0.007289217","0.12974807","0.004953838",NA,""
"183",103,"Steep",2018-04-18,"Peri_03","Steep43208Peri_03",100.45,94.34,6.11,0.0021,0.0225,0.0297,0.0118,0.0036,0.0029,0.0223,0.0279,0.0117,0.0042,3.5343,216.073,80,0.08,17.28584,"0.204462149",2.87457,0.51192,5.71113,0.204462149,NA,0.330393548,NA,"0.030312672","0.29857982","0.018589319",NA,""
"184",104,"Steep",2018-04-18,"Peri_04","Steep43208Peri_04",103.62,99.99,3.63,0.0013,0.0153,0.0371,0.0097,0.0026,0.0021,0.0144,0.0337,0.0093,0.0034,4.4149,191.81,80,0.08,15.3448,"0.287713102",4.19961,0.96696,6.89839,0.287713102,NA,0.449558808,NA,"0.064500026","0.383016331","0.027348027",NA,""
"185",105,"Steep",2018-08-13,"Peri_01","Steep43325Peri_01",181.75,173.85,7.9,0.0018,0.0921,0.1772,0.0448,0.0071,0.0026,0.0871,0.1618,0.0413,0.0075,21.0868,178.363,140,0.14,24.97082,"0.844457651",19.2903,4.37976,33.12046,0.844457651,NA,1.326366535,NA,"0.179527144","1.140813397","0.083836013",NA,""
"186",106,"Steep",2018-04-18,"Peri_05","Steep43208Peri_05",100.9,96.97,3.93,0.0018,0.0207,0.0289,0.0101,0.0021,0.0046,0.021,0.027,0.0112,0.0055,3.4391,137.17,90,0.09,12.3453,"0.278575652",2.87469,0.54036,5.5269,0.278575652,NA,0.447692644,NA,"0.044801665","0.400857006","0.023600642",NA,""
"187",107,"Steep",2018-11-07,"Peri_04","Steep43411Peri_04",130.18,125.02,5.16,0.0013,0.0443,0.0793,0.0213,0.0041,0.0013,0.0403,0.0696,0.0186,0.0037,9.4367,196.21,70,0.07,13.7347,"0.687069976",8.47805,2.75868,14.24712,0.687069976,NA,1.037308423,NA,"0.20558658","0.827009108","0.068091768",NA,""
"188",108,"Steep",2018-09-10,"Peri_02","Steep43353Peri_02",165.85,161.48,4.37,0.0015,0.0343,0.0756,0.0191,0.004,0.0018,0.0321,0.0693,0.017,0.0038,8.9964,217.392,240,0.24,52.17408,"0.172430448",8.43874,1.79172,14.18571,0.172430448,NA,0.271891905,NA,"0.035150213","0.235506424","0.016959801",NA,""
"189",109,"Steep",2018-05-14,"Peri_04","Steep43234Peri_04",81.05,78.48,2.57,0.0021,0.0131,0.0288,0.0087,0.0034,0.0028,0.0128,0.0267,0.0085,0.004,3.4272,162.248,70,0.07,11.35736,"0.301760268",3.18146,0.59724,5.46549,0.301760268,NA,0.481228912,NA,"0.053825009","0.425217568","0.02744828",NA,""
"190",110,"Steep",2018-08-13,"Peri_03","Steep43325Peri_03",110.67,106.43,4.24,0.0016,0.0417,0.0949,0.0232,0.0061,0.0022,0.0345,0.0754,0.0174,0.0056,11.2931,214.6,120,0.12,25.752,"0.438532929",10.63515,5.5458,15.43438,0.438532929,NA,0.599346847,NA,"0.22042754","0.376196334","0.043160648",NA,""
"191",111,"Steep",2018-10-16,"Peri_02","Steep43389Peri_02",76.56,74.42,2.14,7e-04,0.0197,0.00357,0.0107,0.0034,2e-04,0.0174,0.0317,0.0085,0.0021,0.42483,118.156,90,0.09,10.63404,"0.03995001",-0.468727,-8.000172,6.48899,0.03995001,NA,0.61020929,NA,"-0.770040643","1.37747761","0.003799713",NA,""
"192",112,"Steep",2018-10-16,"Peri_03","Steep43389Peri_03",80.48,78.43,2.05,0.0015,0.0048,0.0074,0.0032,0.0014,6e-04,0.0036,0.0056,0.0017,5e-04,0.8806,107.475,130,0.13,13.97175,"0.06302718",0.74406,0.51192,1.14632,0.06302718,NA,0.082045556,NA,"0.037502818","0.044169986","0.005835489",NA,""
"193",113,"Steep",2018-08-13,"Peri_02","Steep43325Peri_02",117.52,111.85,5.67,0.0017,0.0245,0.0554,0.0144,0.0042,6e-04,0.0195,0.0457,0.0104,0.003,6.5926,105.786,180,0.18,19.04148,"0.346223088",6.19082,2.75868,9.35479,0.346223088,NA,0.491284816,NA,"0.148290469","0.340762325","0.034506351",NA,""
"194",114,"Steep",2018-06-11,"Peri_05","Steep43262Peri_05",218.33,211.2,7.13,0.0029,0.0347,0.0697,0.0197,0.0076,0.0036,0.0323,0.0631,0.0184,0.008,8.2943,153.006,130,0.13,19.89078,"0.416992194",7.57427,1.87704,12.91657,0.416992194,NA,0.649374735,NA,"0.096590481","0.549833993","0.039844541",NA,""
"195",115,"Steep",2018-06-11,"Peri_03","Steep43262Peri_03",121.59,118.3,3.29,0.0024,0.0235,0.0474,0.0139,0.0047,6e-04,0.0202,0.0427,0.0109,0.0023,5.6406,151.725,100,0.1,15.1725,"0.371764706",5.16382,1.33668,8.74069,0.371764706,NA,0.576087659,NA,"0.090174329","0.483296029","0.03698349",NA,""
"196",116,"Steep",2018-06-11,"Peri_04","Steep43262Peri_04",174.28,166.62,7.66,0.0031,0.0227,0.046,0.0155,0.0068,5e-04,0.0168,0.036,0.0084,0.0017,5.474,118.109,120,0.12,14.17308,"0.386225154",4.97834,2.844,7.3692,0.386225154,NA,0.519943442,NA,"0.205389372","0.312191845","0.038491633",NA,""
"197",117,"Steep",2018-09-10,"Peri_01","Steep43353Peri_01",104.59,100.56,4.03,0.006,0.0299,0.0548,0.0186,0.0119,0.0011,0.0223,0.0443,0.0112,0.0027,6.5212,162.227,120,0.12,19.46724,"0.334983285",5.73554,2.9862,9.06821,0.334983285,NA,0.465818986,NA,"0.157009931","0.306692731","0.03307418",NA,""
"198",118,"Herbert",2019-04-05,"Peri_03","Herbert43560Peri_03",80.03,75.86,4.17,0.0044,0.009,0.0091,0.008,0.0061,0.0035,0.0069,0.0069,0.0057,0.004,1.0829,320.022,60,0.06,19.20132,"0.056397164",0.70125,0.62568,1.41243,0.056397164,NA,0.073559005,NA,"0.033352915","0.039871894","0.003496843",NA,""
"199",119,"Herbert",2019-04-05,"Peri_04","Herbert43560Peri_04",90.5,87.31,3.19,0.01,0.0078,0.0087,0.0081,0.006,0.0057,0.0093,0.0099,0.0089,0.0065,1.0353,240.762,60,0.06,14.44572,"0.071668287",0.70413,-0.34128,2.02653,0.071668287,NA,0.140285842,NA,"-0.024181557","0.163830048","0.002490011",NA,""
"200",120,"Herbert",2018-10-22,"Peri_05","Herbert43395Peri_05",69.17,68.18,0.99,0.0028,7e-04,7e-04,4e-04,1e-04,3e-04,4e-04,5e-04,3e-04,1e-04,0.0833,59.084,180,0.18,10.63512,"0.00783254",0.05989,0.05688,0.10235,0.00783254,NA,0.009623775,NA,"0.005474315","0.004105736","0.000450959",NA,""
"201",121,"Herbert",2018-10-22,"Peri_04","Herbert43395Peri_04",71.46,70.17,1.29,0.0075,0.0088,0.011,0.0101,0.0101,0.0086,0.0105,0.0114,0.0111,0.0101,1.309,119.166,120,0.12,14.29992,"0.091538974",0.89446,-0.11376,2.33358,0.091538974,NA,0.163188326,NA,"-0.008142703","0.170589626","0.002012319",NA,""
"202",122,"Steep",2018-08-13,"Peri_05","Steep43325Peri_05",141.77,132.63,9.14,0.0019,0.0579,0.1361,0.0335,0.0094,0.0043,0.0558,0.1279,0.0329,0.0119,16.1959,150.319,120,0.12,18.03828,"0.897862767",15.32715,2.33208,26.18113,0.897862767,NA,1.451420535,NA,"0.132330799","1.312495593","0.087607133",NA,"**Listed as Peri_06 on this spreadsheet?? Peri_05 missing…"
"203",123,"Montana",2018-10-18,"Peri_04_B","Montana43391Peri_04_B",83.94,81.02,2.92,0.003,0.0123,0.0268,0.0089,0.0052,0.0047,0.0131,0.0265,0.0104,0.007,3.1892,123.839,100,0.1,12.3839,"0.257527919",2.92062,0.08532,5.42455,0.257527919,NA,0.438032445,NA,"0.007051898","0.428990463","0.021397056",NA,""
"204",124,"Montana",2018-11-13,"Peri_02_B","Montana43422Peri_02_B",86.78,84.2,2.58,0.0048,0.0076,0.0094,0.0076,0.0061,0.0071,0.0109,0.0165,0.0087,0.0081,1.1186,91.207,160,0.16,14.59312,"0.07665256",0.80416,-2.01924,3.37755,0.07665256,NA,0.231448107,NA,"-0.141629069","0.372025653","0.001889726",NA,""
"205",125,"Peterson",2018-09-11,"Peri_02_B","Peterson43354Peri_02_B",75.09,72.71,2.38,0.0059,0.0158,0.0251,0.0125,0.0081,0.005,0.0131,0.0213,0.0098,0.0059,2.9869,156.476,60,0.06,9.38856,"0.318142505",2.48819,1.08072,4.36011,0.318142505,NA,0.464406682,NA,"0.117822115","0.344474659","0.025669432",NA,""
"206",126,"Herbert",2018-10-22,"Peri_01_B","Herbert43395Peri_01_B",80.67,78.81,1.86,0.0041,0.0085,0.011,0.0074,0.0053,0.0033,0.0069,0.0089,0.0058,0.0043,1.309,125.018,90,0.09,11.25162,"0.116338803",0.98992,0.59724,1.82183,0.116338803,NA,0.161917128,NA,"0.054330843","0.106850658","0.008205307",NA,""
"207",127,"Herbert",2018-07-12,"Peri_02_B","Herbert43293Peri_02_B",116.11,112.04,4.07,0.0084,0.0334,0.0494,0.0264,0.0135,0.0052,0.0299,0.0443,0.0249,0.0116,5.8786,267.43,210,0.21,56.1603,"0.104675367",4.83652,1.45044,9.06821,0.104675367,NA,0.161470113,NA,"0.026435222","0.134301295","0.009436524",NA,""
"208",128,"Peterson",2018-11-09,"Peri_03_B","Peterson43413Peri_03_B",75.6,73.53,2.07,0.0084,0.0156,0.022,0.0117,0.0128,0.0056,0.0114,0.017,0.0096,0.007,2.618,118.219,60,0.06,7.09314,"0.369089007",2.00298,1.422,3.4799,0.369089007,NA,0.490600778,NA,"0.205198262","0.283173602","0.027721996",NA,""
"209",129,"Montana",2018-05-17,"Peri_01_B","Montana43237Peri_01_B",75.18,73.06,2.12,0.0091,0.0116,0.0122,0.0129,0.0116,0.009,0.0113,0.0114,0.012,0.0104,1.4518,76.826,120,0.12,9.21912,"0.157477069",0.90296,0.22752,2.33358,0.157477069,NA,0.253123942,NA,"0.025260545","0.226713396","0.004161786",NA,""
"210",130,"Peterson",2018-07-11,"Peri_05_B","Peterson43292Peri_05_B",126.08,102.21,23.87,0.0043,0.362,0.8315,0.1847,0.029,0.0066,0.3177,0.7139,0.1518,0.0294,98.9485,239.722,60,0.06,14.38332,"6.87939224",93.75017,33.44544,146.13533,6.87939224,NA,10.16005554,NA,"2.380073585","7.733822442","0.687640336",NA,""
